k,t,u,thetaR1_rad,thetaR2_rad,thetaR1_deg,thetaR2_deg,thetaF1_rad,thetaF2_rad,thetaF1_deg,thetaF2_deg,R1_orth_error,R2_orth_error,F1_orth_error,F2_orth_error,R1_det_error,R2_det_error,F1_det_error,F2_det_error,base_x,base_y,elbow_x,elbow_y,tip_x,tip_y,target_angle_error_norm_rad,target_angle_error_norm_deg,target_step_error_norm_rad,target_step_error_norm_deg,target_error_R1_deg,target_error_R2_deg,target_error_F1_deg,target_error_F2_deg,mpc_iteration,angle_ok,step_ok,stable_counter
1.0000000000000000e+01,1.0000000000000000e+00,1.0836095978025071e+01,-5.7896418461931709e-01,-1.6805255085329835e+00,-3.3172204267919881e+01,-9.6287019003016368e+01,-1.5544515135988374e-01,1.0244334976464164e+00,-8.9063511186936068e+00,5.8695715806964813e+01,2.3472951117652309e-16,4.3510398879824326e-16,1.7904626671695865e-17,1.9893201306910307e-17,2.2204460492503131e-16,0.0000000000000000e+00,2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-5.4715722207754247e-01,-8.3702985271039576e-01,-1.5411430135528765e+00,-7.2752073735850631e-01,2.9498782809367610e+00,1.6901557557498296e+02,1.0361598265621803e+00,5.9367584963020306e+01,1.4682779573208012e+02,8.3712980996983603e+01,-8.9063511186935980e+00,5.8695715806964827e+01,9.0000000000000000e+00,False,False,0
1.1000000000000000e+01,1.1000000000000001e+00,-1.2840055107839055e+01,-8.2755671738287395e-01,-8.5542112218522959e-01,-4.7415507213739325e+01,-4.9012020007558370e+01,-2.4859253276355692e-01,8.2510438634775385e-01,-1.4243302945819451e+01,4.7274998995457999e+01,6.4190820988018232e-16,3.5809480701876230e-16,2.2229182977940602e-16,2.2579754237308245e-17,4.4408920985006262e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-7.3628025794971608e-01,-6.7667671879081193e-01,-1.4911274553396718e+00,-1.3325774037977185e+00,3.2528975675636818e+00,1.8637730180977053e+02,8.6173980743383527e-01,4.9374054004375047e+01,1.3258449278626065e+02,1.3098797999244164e+02,-1.4243302945819440e+01,4.7274998995457999e+01,1.0000000000000000e+01,False,False,0
1.2000000000000000e+01,1.2000000000000002e+00,4.5540161143807850e-01,-1.0223014007916382e+00,4.3530454657406029e-02,-5.8573555655672905e+01,2.4941113321549633e+00,-1.9474468340876422e-01,8.9895157684263560e-01,-1.1158048441933575e+01,5.1506131339713328e+01,5.5589224304048404e-16,5.9030135860884655e-16,3.4035204788845475e-18,4.7159875780717242e-16,4.4408920985006262e-16,3.3306690738754696e-16,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00,0.0000000000000000e+00,-8.5331023912975357e-01,-5.2140352491743158e-01,-8.0979353081647543e-01,-1.5204562242769684e+00,3.7535829287016624e+00,2.1506445986696025e+02,9.1980401674695911e-01,5.2700888138781252e+01,1.2142644434432707e+02,-1.7750588866784503e+02,-1.1158048441933579e+01,5.1506131339713313e+01,1.1000000000000000e+01,False,False,0
1.3000000000000000e+01,1.3000000000000000e+00,-1.2052797233465746e+00,-8.9309995721015545e-01,5.3331718071052159e-01,-5.1170858231456322e+01,3.0556823596528726e+01,1.2920144358148267e-01,4.8978672605311574e-01,7.4026974242165764e+00,2.8062712264373772e+01,6.4027028292814291e-16,7.1311972907838937e-16,1.5720477960646996e-16,1.5705999866870967e-16,4.4408920985006262e-16,4.4408920985006262e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-7.7901916102807467e-01,-6.2700011702639624e-01,-2.7062651946392613e-01,-1.4881254981431224e+00,3.4436637971927748e+00,1.9730740164114107e+02,5.0654126193368398e-01,2.9022676458030837e+01,1.2882914176854365e+02,-1.4944317640347128e+02,7.4026974242165826e+00,2.8062712264373783e+01,1.2000000000000000e+01,False,False,0
1.4000000000000000e+01,1.4000000000000001e+00,1.1388072370204521e+01,-6.3787014281688748e-01,1.2410688196326420e+00,-3.6547267060814718e+01,7.1108005450233193e+01,2.5522981439326797e-01,7.0775163892212045e-01,1.4623591170641607e+01,4.0551181853704463e+01,5.3810127960404071e-16,3.9255181975287089e-16,1.5569216021489582e-17,3.1542467376870966e-16,2.2204460492503131e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,-5.9548573871668686e-01,-8.0336587865370646e-01,3.5064486909203452e-01,-1.1271511052584722e+00,3.1433449149576584e+00,1.8010039718098250e+02,7.5236602830814314e-01,4.3107398071076823e+01,1.4345273293918527e+02,-1.0889199454976681e+02,1.4623591170641600e+01,4.0551181853704470e+01,1.3000000000000000e+01,False,False,0
1.5000000000000000e+01,1.5000000000000000e+00,1.5869988305250525e+01,-1.2783541998006362e-01,2.2882663678154964e+00,-7.3244300371400035e+00,1.3110800527755842e+02,5.1003472283682394e-01,1.0471975481828544e+00,2.9222837023674717e+01,5.9999999827325226e+01,3.5427658889844625e-16,5.1205721368198519e-16,2.4848447023969980e-16,1.5727442995114432e-16,0.0000000000000000e+00,4.4408920985006262e-16,1.1102230246251565e-16,2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,-1.2748752553786977e-01,-9.9184017403623603e-01,6.2598401195779663e-01,-3.3435964794902440e-01,3.1322353700078676e+00,1.7946386714304862e+02,1.1647996065501642e+00,6.6738101433823246e+01,1.7267556996285995e+02,-4.8891994722441581e+01,2.9222837023674710e+01,5.9999999827325226e+01,1.4000000000000000e+01,False,False,0
1.6000000000000000e+01,1.6000000000000001e+00,8.3191814077503636e+00,5.9280727954894952e-01,-3.0277727640384078e+00,3.3965355182786766e+01,-1.7347860070406045e+02,7.2064269952901316e-01,9.6714617532568226e-01,4.1289785219926770e+01,5.5413394018381148e+01,5.3873922973009341e-16,5.1630172932628203e-16,2.5123336115146090e-16,3.3000614592832026e-17,1.1102230246251565e-16,4.4408920985006262e-16,3.3306690738754696e-16,2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,5.5869151033503306e-01,-8.2937554598599039e-01,4.4511721713542213e-01,1.6415396033186869e-01,2.5513255084724125e+00,1.4618018379953799e+02,1.2061084631290666e+00,6.9104924572305578e+01,-1.4603464481721323e+02,6.5213992959395313e+00,4.1289785219926770e+01,5.5413394018381162e+01,1.5000000000000000e+01,False,False,0
1.7000000000000000e+01,1.7000000000000002e+00,1.1722707920576774e+01,1.3483117728992160e+00,-1.9805752723024388e+00,7.7252574054926612e+01,-1.1347860411090352e+02,7.5550449335026637e-01,1.0471974917359690e+00,4.3287218872139832e+01,5.9999996593156929e+01,7.0326257606275621e-16,4.3186780407920769e-16,1.8808644764204805e-17,4.2155682348774885e-18,1.1102230246251565e-16,4.4408920985006262e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.7535223451840336e-01,-2.2065361682954018e-01,5.8143319727424370e-02,1.7775296773948354e-01,2.1363093588480391e+00,1.2240150999629151e+02,1.2912821636538421e+00,7.3985018137886414e+01,-1.0274742594507339e+02,6.6521395889096510e+01,4.3287218872139846e+01,5.9999996593156929e+01,1.6000000000000000e+01,False,False,0
1.8000000000000000e+01,1.8000000000000000e+00,-3.5702831545966318e+00,1.9149411042513520e+00,-1.3923844386744160e+00,1.0971804328972385e+02,-7.9777751795736236e+01,5.6662933135213556e-01,5.8819083362802271e-01,3.2465469234797226e+01,3.3700852315167275e+01,5.8526892959467423e-16,1.0534421121449815e-15,3.1555651111231782e-16,4.7174416794494850e-16,2.2204460492503131e-16,6.6613381477509392e-16,2.2204460492503131e-16,4.4408920985006262e-16,0.0000000000000000e+00,0.0000000000000000e+00,9.4136434183988282e-01,3.3739172472419099e-01,-4.2762429145563718e-02,1.5992483026283380e-01,2.1364464427225500e+00,1.2240936432374029e+02,8.1672348803777928e-01,4.6794808893768128e+01,-7.0281956710276148e+01,1.0022224820426378e+02,3.2465469234797233e+01,3.3700852315167268e+01,1.7000000000000000e+01,False,False,0
1.9000000000000000e+01,1.9000000000000001e+00,-1.4506369584235298e+01,2.2136614925730185e+00,-1.5367821381859263e+00,1.2683346079506438e+02,-8.8051130549144048e+01,2.9872038832166675e-01,-1.4439769951151032e-01,1.7115417505340549e+01,-8.2733787534078100e+00,5.6506361834174406e-16,1.1285946016974920e-15,1.5753846523005311e-16,3.3717314714880955e-18,2.2204460492503131e-16,7.7715611723760958e-16,1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.0038140401397651e-01,5.9949112429511053e-01,-1.9904016924417900e-01,5.6548349417783705e-01,1.8537726478553846e+00,1.0621334889890493e+02,3.3178994261921763e-01,1.9010163396968927e+01,-5.3166539204935610e+01,9.1948869450855952e+01,1.7115417505340545e+01,-8.2733787534078012e+00,1.8000000000000000e+01,False,False,0
