Moment matrix rank condition
================================================================================
Rank threshold: 1.00e-02
Dominant weight threshold: 0.999
Number of moment matrices: 188

Worst rank proxy: 24
Minimum dominant weight: 1.4763278e-01
Maximum second weight: 1.1271324e-01
All blocks rank-one: False

Per-block rank proxy
--------------------------------------------------------------------------------
block   shape       dominant_weight      second_weight       rank_proxy   status
153     22x22       9.99999977e-01       5.21456642e-09      1            tight
154     22x22       9.99999972e-01       6.24230091e-09      1            tight
155     22x22       9.99999974e-01       5.96369446e-09      1            tight
156     22x22       9.99999982e-01       4.47822860e-09      1            tight
157     22x22       9.99999982e-01       4.08324046e-09      1            tight
158     22x22       9.99999982e-01       3.29445072e-09      1            tight
159     22x22       9.99999982e-01       5.20070725e-09      1            tight
160     22x22       9.99999981e-01       4.10345621e-09      1            tight
161     22x22       9.99999977e-01       6.08862989e-09      1            tight
162     22x22       9.99999978e-01       5.10742225e-09      1            tight
163     22x22       9.99999973e-01       6.11849769e-09      1            tight
164     22x22       9.99999975e-01       5.82597700e-09      1            tight
165     22x22       9.99999982e-01       4.44599407e-09      1            tight
166     22x22       9.99999983e-01       3.91624778e-09      1            tight
167     22x22       9.99999983e-01       3.22890049e-09      1            tight
168     22x22       9.99999982e-01       5.13098974e-09      1            tight
169     22x22       9.99999982e-01       3.98345310e-09      1            tight
170     22x22       9.99999978e-01       6.00238939e-09      1            tight
171     22x22       9.99999979e-01       4.97959023e-09      1            tight
172     22x22       9.99999975e-01       5.90294003e-09      1            tight
173     22x22       9.99999978e-01       3.97954301e-09      1            tight
174     22x22       9.99999983e-01       4.22261841e-09      1            tight
175     22x22       9.99999985e-01       2.33799233e-09      1            tight
176     22x22       9.99999984e-01       3.13973255e-09      1            tight
177     22x22       9.99999983e-01       4.98252643e-09      1            tight
178     22x22       9.99999983e-01       3.90460008e-09      1            tight
179     22x22       9.99999979e-01       5.88231558e-09      1            tight
180     22x22       9.99999980e-01       4.88343317e-09      1            tight
181     22x22       9.99999978e-01       4.07125077e-09      1            tight
182     22x22       9.99999983e-01       3.41046991e-09      1            tight
183     22x22       9.99999984e-01       2.88810813e-09      1            tight
184     22x22       9.99999986e-01       3.33405258e-09      1            tight
185     22x22       9.99999984e-01       3.14895063e-09      1            tight
186     22x22       9.99999982e-01       3.99022633e-09      1            tight
187     22x22       9.99999982e-01       3.50181982e-09      1            tight
