global_time,mpc_iteration,local_sim_step,u_applied,k,t,u,thetaR1_rad,thetaR2_rad,thetaR1_deg,thetaR2_deg,thetaF1_rad,thetaF2_rad,thetaF1_deg,thetaF2_deg,R1_orth_error,R2_orth_error,F1_orth_error,F2_orth_error,R1_det_error,R2_det_error,F1_det_error,F2_det_error,base_x,base_y,elbow_x,elbow_y,tip_x,tip_y,x1,y1,x2,y2,target_angle_error_norm_rad,target_angle_error_norm_deg,target_step_error_norm_rad,target_step_error_norm_deg,target_error_R1_deg,target_error_R2_deg,target_error_F1_deg,target_error_F2_deg
1.0000000000000000e-02,0,10,3.6869799728536616e+00,1.0000000000000000e+01,1.0000000000000000e-02,3.6869799728536616e+00,8.4903171992315174e-02,9.2012957645694213e-02,4.8645934224329963e+00,5.2719541336142779e+00,-4.2934972765164178e-04,8.6268867998458363e-04,-2.4599927329530411e-02,4.9428420396828737e-02,4.4410314261705718e-16,6.2819286770248771e-16,1.1102230868083049e-16,3.1401849193311252e-16,2.2204460492503131e-16,4.4408920985006262e-16,1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.2400601988760479e-02,-4.9819894515242674e-01,8.8342190198236414e-02,-9.9608384196371880e-01,2.1200300994380236e-02,-2.4909947257621337e-01,6.5371396093498443e-02,-7.4714139355807285e-01,4.3177872699825270e+00,2.4739098740531253e+02,9.6362489964115633e-04,5.5211639783155776e-02,-1.7513540657756701e+02,-1.7472804586638571e+02,-2.4599927329536038e-02,4.9428420396837446e-02
1.0999999999999999e-02,0,11,3.6869799728536616e+00,1.1000000000000000e+01,1.0999999999999999e-02,3.6869799728536616e+00,8.4431060832243041e-02,9.2961761615591651e-02,4.8375434454998381e+00,5.3263165966746584e+00,-4.7211116007211842e-04,9.4880396989744883e-04,-2.7049976933157614e-02,5.4362463060381429e-02,3.3372793654136625e-16,6.2809123491568516e-16,1.3704307251631762e-20,3.1401849521451721e-16,1.1102230246251565e-16,4.4408920985006262e-16,0.0000000000000000e+00,2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,4.2165391990242607e-02,-4.9821890742755759e-01,8.8579354616514921e-02,-9.9605999057892536e-01,2.1082695995121307e-02,-2.4910945371377879e-01,6.5372373303378778e-02,-7.4713944900324147e-01,4.3174514843517695e+00,2.4737174830584897e+02,1.0597725797348383e-03,6.0720496062497749e-02,-1.7516245655450015e+02,-1.7467368340332533e+02,-2.7049976933154495e-02,5.4362463060383996e-02
1.2000000000000000e-02,0,12,3.6869799728536616e+00,1.2000000000000000e+01,1.2000000000000000e-02,3.6869799728536616e+00,8.3916236956017964e-02,9.3996640098656783e-02,4.8080462101995760e+00,5.3856107660631913e+00,-5.1482387622508476e-04,1.0348784830651275e-03,-2.9497235300262842e-02,5.9294169388532644e-02,4.0037523324714765e-16,9.4224570888064765e-16,3.1401849315883543e-16,5.9452705447976596e-20,1.1102230246251565e-16,6.6613381477509392e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.1908891424608512e-02,-4.9824054915227484e-01,8.8838034129799015e-02,-9.9603333291370688e-01,2.0954445712304256e-02,-2.4912027457613745e-01,6.5373462777203767e-02,-7.4713694103299100e-01,4.3170854207770120e+00,2.4735077440798190e+02,1.1558620584838412e-03,6.6226017650427627e-02,-1.7519195378980044e+02,-1.7461438923393681e+02,-2.9497235300253603e-02,5.9294169388534525e-02
1.3000000000000001e-02,0,13,3.6869799728536616e+00,1.3000000000000000e+01,1.3000000000000001e-02,3.6869799728536616e+00,8.3358753017074808e-02,9.5117549944109439e-02,4.7761047333518043e+00,5.4498341694222905e+00,-5.5748393894314242e-04,1.1209098454526656e-03,-3.1941476847770933e-02,6.4223403359099110e-02,4.4485667530165114e-16,6.2817233402975333e-16,3.1401850104757336e-16,1.1102232908487375e-16,2.2204460492503131e-16,4.4408920985006262e-16,2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.1631123822716110e-02,-4.9826383526125761e-01,8.9118217761578591e-02,-9.9600370297253682e-01,2.0815561911358062e-02,-2.4913191763062886e-01,6.5374670792147371e-02,-7.4713376911689733e-01,4.3166891418939581e+00,2.4732806930047275e+02,1.2518894614989633e-03,7.1727982560795961e-02,-1.7522389526664819e+02,-1.7455016583057770e+02,-3.1941476847778920e-02,6.4223403359092171e-02
1.4000000000000000e-02,0,14,3.6869799728536616e+00,1.4000000000000000e+01,1.4000000000000000e-02,3.6869799728536616e+00,8.2758665465263462e-02,9.6324445963391681e-02,4.7417222492946758e+00,5.5189842176383026e+00,-6.0008755181135346e-04,1.2068960192822375e-03,-3.4382484057128675e-02,6.9150048216011839e-02,2.4917828958680763e-16,9.4242285021376269e-16,1.5700926303907155e-16,6.2256983806478643e-21,0.0000000000000000e+00,6.6613381477509392e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.1332114419814249e-02,-4.9828872786526829e-01,8.9419893893022032e-02,-9.9597092110241447e-01,2.0666057209907128e-02,-2.4914436393263417e-01,6.5376004156418144e-02,-7.4712982448384158e-01,4.3162627148131207e+00,2.4730363682847070e+02,1.3478512793324866e-03,7.7226189717060079e-02,-1.7525827775070533e+02,-1.7448101578236171e+02,-3.4382484057137772e-02,6.9150048216006496e-02
1.4999999999999999e-02,0,15,3.6869799728536616e+00,1.5000000000000000e+01,1.4999999999999999e-02,3.6869799728536616e+00,8.2116034395126256e-02,9.7617281293775754e-02,4.7049022011918380e+00,5.5930582256747110e+00,-6.4263107013720990e-04,1.2928353303840762e-03,-3.6820048102837719e-02,7.4074008036408970e-02,2.4862237025560681e-16,6.2834110728040831e-16,4.2347413647011928e-21,1.3993198089370515e-19,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00,1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,4.1011890088870732e-02,-4.9831518627404725e-01,8.9743050318051062e-02,-9.9593479402952745e-01,2.0505945044435370e-02,-2.4915759313702365e-01,6.5377470203460908e-02,-7.4712499015178746e-01,4.3158062109579838e+00,2.4727748108423989e+02,1.4437443969745169e-03,8.2720460642299917e-02,-1.7529509779880814e+02,-1.7440694177432528e+02,-3.6820048102829558e-02,7.4074008036419947e-02
1.6000000000000000e-02,0,16,3.6869799728536616e+00,1.6000000000000000e+01,1.6000000000000000e-02,3.6869799728536616e+00,8.1430923383398329e-02,9.8996007789116186e-02,4.6656482317218906e+00,5.6720534349605813e+00,-6.8511101172791906e-04,1.3787264953404373e-03,-3.9253969469947608e-02,7.8995209285870421e-02,4.4416608571419807e-16,8.0075913376117636e-16,3.1401849178734636e-16,4.9073085832620126e-20,4.4408920985006262e-16,6.6613381477509392e-16,2.2204460492503131e-16,1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,4.0670479269130172e-02,-4.9834316702049730e-01,9.0087674302562398e-02,-9.9589511489632232e-01,2.0335239634565093e-02,-2.4917158351024871e-01,6.5379076785846299e-02,-7.4711914095841003e-01,4.3153197058917119e+00,2.4724960639723079e+02,1.5395661230831869e-03,8.8210641133985232e-02,-1.7533435176827811e+02,-1.7432794656503941e+02,-3.9253969469956768e-02,7.8995209285882842e-02
1.7000000000000001e-02,0,17,3.6869799728536616e+00,1.7000000000000000e+01,1.7000000000000001e-02,3.6869799728536616e+00,8.0703399315928279e-02,1.0046057643754655e-01,4.6239641731616654e+00,5.7559670373228204e+00,-7.2752406747005527e-04,1.4645686484303626e-03,-4.1684058560225112e-02,8.3913602362239034e-02,7.0229369063455769e-16,9.4213215995199031e-16,3.1401849847810385e-16,3.1401852175074400e-16,4.4408920985006262e-16,6.6613381477509392e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0307911889982208e-02,-4.9837262388605319e-01,9.0453752647757041e-02,-9.9585166329846486e-01,2.0153955944991114e-02,-2.4918631194302668e-01,6.5380832268869649e-02,-7.4711214359225930e-01,4.3148032791326134e+00,2.4722001732350682e+02,1.6353142189542346e-03,9.3696602923810254e-02,-1.7537603582683835e+02,-1.7424403296267718e+02,-4.1684058560235181e-02,8.3913602362245501e-02
1.8000000000000002e-02,0,18,3.6869799728536616e+00,1.8000000000000000e+01,1.8000000000000002e-02,3.6869799728536616e+00,7.9933532204219490e-02,1.0201093780593473e-01,4.5798540368748251e+00,5.8447962004515901e+00,-7.6986711170877876e-04,1.5503613683881723e-03,-4.4110136286839706e-02,8.8829163128769317e-02,7.0257553304661719e-16,9.4244076720272511e-16,4.7066022953557980e-20,1.1301403894737069e-19,4.4408920985006262e-16,8.8817841970012523e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.9924219290221503e-02,-4.9840350792712756e-01,9.0841271757539782e-02,-9.9580420532113045e-01,1.9962109645110766e-02,-2.4920175396356387e-01,6.5382745523880681e-02,-7.4710385662412926e-01,4.3142570139586063e+00,2.4718871863454123e+02,1.7309869272414233e-03,9.9178245323252465e-02,-1.7542014596312518e+02,-1.7415520379954842e+02,-4.4110136286833905e-02,8.8829163128761879e-02
1.9000000000000000e-02,0,19,3.6869799728536616e+00,1.9000000000000000e+01,1.9000000000000000e-02,3.6869799728536616e+00,7.9121394991793409e-02,1.0364704251092882e-01,4.5333220022172913e+00,5.9385380948892479e+00,-8.1213721242606848e-04,1.6361047049941050e-03,-4.6532034657533319e-02,9.3741894437658832e-02,8.0191284612994013e-16,1.2563516970368062e-15,4.6213969807135055e-20,3.8695647376333933e-20,6.6613381477509392e-16,8.8817841970012523e-16,1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.9519434132780799e-02,-4.9843576750251861e-01,9.1250217709953771e-02,-9.9575249357403495e-01,1.9759717066390414e-02,-2.4921788375125939e-01,6.5384825921367323e-02,-7.4709413053827711e-01,4.3136809972009003e+00,2.4715571530539586e+02,1.8265830004439187e-03,1.0465549685577911e-01,-1.7546667799778271e+02,-1.7406146190511078e+02,-4.6532034657536435e-02,9.3741894437651629e-02
2.0000000000000000e-02,0,20,3.6869799728536616e+00,2.0000000000000000e+01,2.0000000000000000e-02,3.6869799728536616e+00,7.8267063350573637e-02,1.0536884171645017e-01,4.4843724048709133e+00,6.0371899225345995e+00,-8.5433164121976625e-04,1.7217992055213378e-03,-4.8949597346377480e-02,9.8651827645350881e-02,4.9829250000251933e-16,1.2562451910823106e-15,1.1102230665663382e-16,2.2204465328790935e-16,2.2204460492503131e-16,8.8817841970012523e-16,1.1102230246251565e-16,2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,3.9093590315016781e-02,-4.9846934830166001e-01,9.1680576332617905e-02,-9.9569626722458460e-01,1.9546795157508404e-02,-2.4923467415083006e-01,6.5387083323817374e-02,-7.4708280776312253e-01,4.3130753190271509e+00,2.4712101250229685e+02,1.9221017291815130e-03,1.1012831687689824e-01,-1.7551562759512910e+02,-1.7396281007746541e+02,-4.8949597346375398e-02,9.8651827645341819e-02
2.1000000000000001e-02,0,21,3.6869799728536616e+00,2.1000000000000000e+01,2.1000000000000001e-02,3.6869799728536616e+00,7.7370615467485956e-02,1.0717628765751988e-01,4.4330097246165518e+00,6.1407489466559451e+00,-8.9644788308768954e-04,1.8074459410697147e-03,-5.1362680254361658e-02,1.0355902412134596e-01,7.0411066801380285e-16,1.1103138811761238e-15,3.1401849180389484e-16,4.7761476017697713e-20,4.4408920985006262e-16,6.6613381477509392e-16,0.0000000000000000e+00,1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,3.8646722874626255e-02,-4.9850419337358820e-01,9.2132333282139114e-02,-9.9563525202848235e-01,1.9323361437313141e-02,-2.4925209668679418e-01,6.5389528078382719e-02,-7.4706972270103555e-01,4.3124400727142920e+00,2.4708461556961876e+02,2.0175429702937102e-03,1.1559669718411762e-01,-1.7556699027538343e+02,-1.7385925105334405e+02,-5.1362680254351624e-02,1.0355902412134746e-01
2.1999999999999999e-02,0,22,3.6869799728536616e+00,2.2000000000000000e+01,2.1999999999999999e-02,3.6869799728536616e+00,7.6432131821462343e-02,1.0906933419034283e-01,4.3792385725573499e+00,6.2492125234085742e+00,-9.3848364602360152e-04,1.8930465328229464e-03,-5.3771152059201868e-02,1.0846357675262849e-01,8.0296587042850970e-16,1.1102632142412352e-15,3.1401849210167371e-16,7.3173848287314410e-20,6.6613381477509392e-16,8.8817841970012523e-16,2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.8178867891266434e-02,-4.9854024315649909e-01,9.2605474127476300e-02,-9.9556916035710685e-01,1.9089433945633234e-02,-2.4927012157824963e-01,6.5392171009371419e-02,-7.4705470175680322e-01,4.3117753544112860e+00,2.4704653001629143e+02,2.1129071747918089e-03,1.2106066361848117e-01,-1.7562076142744266e+02,-1.7375078747659143e+02,-5.3771152059212096e-02,1.0846357675262301e-01
2.3000000000000000e-02,0,23,3.6869799728536616e+00,2.3000000000000000e+01,2.3000000000000000e-02,3.6869799728536616e+00,7.5451694951027867e-02,1.1104793736861561e-01,4.3230636778024394e+00,6.3625781348547754e+00,-9.8043687043446724e-04,1.9786031782727778e-03,-5.6174894754909693e-02,1.1336561144620100e-01,1.1127921225188539e-15,1.1103245547305539e-15,2.2204462824667880e-16,1.7537581152302592e-19,6.6613381477509392e-16,6.6613381477509392e-16,2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.7690062383948571e-02,-4.9857743550775946e-01,9.3099984437239047e-02,-9.9549769122093545e-01,1.8845031191974306e-02,-2.4928871775387984e-01,6.5395023410593861e-02,-7.4703756336434779e-01,4.3110812628919843e+00,2.4700676150163963e+02,2.2081954157136124e-03,1.2652027766052629e-01,-1.7567693632219755e+02,-1.7363742186514523e+02,-5.6174894754897460e-02,1.1336561144620912e-01
2.4000000000000000e-02,0,24,3.6869799728536616e+00,2.4000000000000000e+01,2.4000000000000000e-02,3.6869799728536616e+00,7.4429389212636726e-02,1.1311205604607627e-01,4.2644898736206214e+00,6.4808434234873964e+00,-1.0223057383911382e-03,2.0641186774606733e-03,-5.8573804181817471e-02,1.1826528863262183e-01,1.1129456153735987e-15,1.1102557256135261e-15,2.2204462161930993e-16,1.8121014940008346e-19,6.6613381477509392e-16,6.6613381477509392e-16,2.2204460492503131e-16,1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,3.7180344204267989e-02,-4.9861570573423791e-01,9.3615849870911066e-02,-9.9542053028825761e-01,1.8590172102134019e-02,-2.4930785286711907e-01,6.5398097037589586e-02,-7.4701811801124807e-01,4.3103578992983271e+00,2.4696531582066964e+02,2.3034094159288189e-03,1.3197563802341533e-01,-1.7573551012637938e+02,-1.7351915657651259e+02,-5.8573804181829559e-02,1.1826528863261712e-01
2.5000000000000001e-02,0,25,3.6869799728536616e+00,2.5000000000000000e+01,2.5000000000000001e-02,3.6869799728536616e+00,7.3365300529909305e-02,1.1526165250537125e-01,4.2035220830727056e+00,6.6040062282612642e+00,-1.0640886827274140e-03,2.1495964592949694e-03,-6.0967790547916123e-02,1.2316280477386701e-01,1.1157953949802262e-15,1.1110571216503643e-15,4.7308184188985240e-20,2.9839697755173941e-19,6.6613381477509392e-16,6.6613381477509392e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.6649751925526428e-02,-4.9865498662281255e-01,9.4153056273996796e-02,-9.9533734989838440e-01,1.8324875962763238e-02,-2.4932749331140638e-01,6.5401404099761667e-02,-7.4699616826059878e-01,4.3096053668740364e+00,2.4692219888881104e+02,2.3985515759562264e-03,1.3742688224674407e-01,-1.7579647791692730e+02,-1.7339599377173872e+02,-6.0967790547911752e-02,1.2316280477387004e-01
2.6000000000000002e-02,0,26,3.6869799728536616e+00,2.6000000000000000e+01,2.6000000000000002e-02,3.6869799728536616e+00,7.2259516133903981e-02,1.1749669311338043e-01,4.1401653041301776e+00,6.7320646221405429e+00,-1.1057843960053165e-03,2.2350406080091879e-03,-6.3356778942527517e-02,1.2805839387927989e-01,1.1152774591213351e-15,1.4218586377116289e-15,5.3397206661364502e-20,2.2204473373976368e-16,8.8817841970012523e-16,8.8817841970012523e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.6098324727794118e-02,-4.9869520847091237e-01,9.4711589777098829e-02,-9.9524780906853283e-01,1.8049162363897087e-02,-2.4934760423545629e-01,6.5404957252446536e-02,-7.4697150876972296e-01,4.3088237706890000e+00,2.4687741672612492e+02,2.4936250018595396e-03,1.4287418829485368e-01,-1.7585983469586984e+02,-1.7326793537785946e+02,-6.3356778942531944e-02,1.2805839387927853e-01
