Moment matrix rank condition
================================================================================
Rank threshold: 1.00e-02
Dominant weight threshold: 0.999
Number of moment matrices: 188

Worst rank proxy: 1
Minimum dominant weight: 9.9999999e-01
Maximum second weight: 8.5252886e-10
All blocks rank-one: True

Per-block rank proxy
--------------------------------------------------------------------------------
block   shape       dominant_weight      second_weight       rank_proxy   status
146     22x22       9.99999995e-01       5.33519117e-10      1            tight
147     22x22       9.99999996e-01       5.42782665e-10      1            tight
148     22x22       9.99999996e-01       5.63277669e-10      1            tight
149     22x22       9.99999997e-01       4.51985886e-10      1            tight
150     22x22       9.99999997e-01       4.33996965e-10      1            tight
151     22x22       9.99999997e-01       3.24739507e-10      1            tight
152     22x22       9.99999997e-01       4.70762368e-10      1            tight
153     22x22       9.99999997e-01       3.26353899e-10      1            tight
154     22x22       9.99999995e-01       5.79002482e-10      1            tight
155     22x22       9.99999995e-01       5.60315850e-10      1            tight
156     22x22       9.99999996e-01       5.72825218e-10      1            tight
157     22x22       9.99999996e-01       5.80691152e-10      1            tight
158     22x22       9.99999997e-01       4.65467614e-10      1            tight
159     22x22       9.99999997e-01       4.44295632e-10      1            tight
160     22x22       9.99999997e-01       3.29815925e-10      1            tight
161     22x22       9.99999997e-01       4.79109427e-10      1            tight
162     22x22       9.99999997e-01       3.29455159e-10      1            tight
163     22x22       9.99999995e-01       6.21408102e-10      1            tight
164     22x22       9.99999995e-01       6.11241657e-10      1            tight
165     22x22       9.99999996e-01       6.03836823e-10      1            tight
166     22x22       9.99999996e-01       6.35992684e-10      1            tight
167     22x22       9.99999997e-01       4.99555673e-10      1            tight
168     22x22       9.99999997e-01       4.56629038e-10      1            tight
169     22x22       9.99999997e-01       3.44322933e-10      1            tight
170     22x22       9.99999997e-01       4.91373265e-10      1            tight
171     22x22       9.99999997e-01       3.33480917e-10      1            tight
172     22x22       9.99999995e-01       6.76797875e-10      1            tight
173     22x22       9.99999996e-01       4.51969028e-10      1            tight
174     22x22       9.99999996e-01       6.56516084e-10      1            tight
175     22x22       9.99999996e-01       4.38027719e-10      1            tight
176     22x22       9.99999997e-01       5.49275435e-10      1            tight
177     22x22       9.99999997e-01       5.30760898e-10      1            tight
178     22x22       9.99999997e-01       5.02312711e-10      1            tight
179     22x22       9.99999997e-01       5.59451568e-10      1            tight
180     22x22       9.99999997e-01       4.22253651e-10      1            tight
181     22x22       9.99999996e-01       5.28179725e-10      1            tight
182     22x22       9.99999996e-01       5.38565648e-10      1            tight
183     22x22       9.99999998e-01       4.17155643e-10      1            tight
184     22x22       9.99999998e-01       4.11107033e-10      1            tight
185     22x22       9.99999997e-01       3.19251700e-10      1            tight
186     22x22       9.99999998e-01       4.35010098e-10      1            tight
187     22x22       9.99999998e-01       3.23273571e-10      1            tight
