k,t,u,thetaR1_rad,thetaR2_rad,thetaR1_deg,thetaR2_deg,thetaF1_rad,thetaF2_rad,thetaF1_deg,thetaF2_deg,R1_orth_error,R2_orth_error,F1_orth_error,F2_orth_error,R1_det_error,R2_det_error,F1_det_error,F2_det_error,base_x,base_y,elbow_x,elbow_y,tip_x,tip_y,x1,y1,x2,y2,target_angle_error_norm_rad,target_angle_error_norm_deg,target_step_error_norm_rad,target_step_error_norm_deg,target_error_R1_deg,target_error_R2_deg,target_error_F1_deg,target_error_F2_deg
6.7000000000000000e+01,6.7000000000000004e-02,3.6870591001285948e+00,-8.1326946723408160e-03,2.8394881811558309e-01,-4.6596908079365867e-01,1.6269068875750765e+01,-2.7716240015832174e-03,5.8908307163832276e-03,-1.5880235768787895e-01,3.3751973787478617e-01,5.0348709920391135e-15,5.8546000334722660e-15,3.1401855889286206e-16,3.6259146456566098e-19,3.5527136788005009e-15,4.2188474935755949e-15,2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.0663025111267641e-03,-4.9998346491047879e-01,1.3600795608862029e-01,-9.7996179991918642e-01,-2.0331512555634007e-03,-2.4999173245523981e-01,6.5970826788746967e-02,-7.3997263241483391e-01,4.2408371348782916e+00,2.4298206943087837e+02,6.5102831071495422e-03,3.7301174547498467e-01,1.7953403091920634e+02,-1.6373093112424925e+02,-1.5880235768788786e-01,3.3751973787478395e-01
6.8000000000000000e+01,6.8000000000000005e-02,3.6870591001285948e+00,-1.0946248690084794e-02,2.8994178786037650e-01,-6.2717385144246451e-01,1.6612440748877020e+01,-2.8135540177439762e-03,5.9929697447933371e-03,-1.6120477064880578e-01,3.4337187312625228e-01,4.8908137783998702e-15,5.8303956083639177e-15,2.6707622526663921e-19,2.5522290833515619e-19,3.5527136788005009e-15,4.2188474935755949e-15,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-5.4730150470752954e-03,-4.9997004520900501e-01,1.3747520654997264e-01,-9.7910030509898660e-01,-2.7365075235376676e-03,-2.4998502260450289e-01,6.6001095751448843e-02,-7.3953517515399703e-01,4.2347207195430023e+00,2.4263162464641718e+02,6.6205568174263945e-03,3.7932996366509669e-01,1.7937282614855758e+02,-1.6338755925112298e+02,-1.6120477064879898e-01,3.4337187312625317e-01
6.9000000000000000e+01,6.9000000000000006e-02,3.6870591001285948e+00,-1.3802021393755271e-02,2.9603832469686514e-01,-7.9079757461144717e-01,1.6961746579253859e+01,-2.8557727036704794e-03,6.0965368364887234e-03,-1.6362372316898277e-01,3.4930583037684232e-01,5.2034957648700401e-15,6.1525058905849524e-15,1.0096629914816090e-19,3.1401850034983501e-16,3.5527136788005009e-15,4.4408920985006262e-15,0.0000000000000000e+00,2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,-6.9007915967118742e-03,-4.9995237680737026e-01,1.3896579066007339e-01,-9.7820224892520424e-01,-3.4503957983559592e-03,-2.4997618840368555e-01,6.6032499531680958e-02,-7.3907731286628853e-01,4.2285048986059568e+00,2.4227548434051542e+02,6.7322506737120778e-03,3.8572955022780714e-01,1.7920920242538855e+02,-1.6303825342074614e+02,-1.6362372316899287e-01,3.4930583037685353e-01
7.0000000000000000e+01,7.0000000000000007e-02,3.6870591001285948e+00,-1.6700330253782120e-02,3.0223995719133578e-01,-9.5685844001635845e-01,1.7317073947278214e+01,-2.8983088600268510e-03,6.2016324944706470e-03,-1.6606086540491144e-01,3.5532736802435694e-01,5.0349414648982853e-15,6.3187559193966256e-15,2.6878036219169358e-19,2.2204526180110227e-16,3.7747582837255322e-15,4.6629367034256575e-15,0.0000000000000000e+00,2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,-8.3497769873604830e-03,-4.9993027636287579e-01,1.4047991118183259e-01,-9.7726634656861755e-01,-4.1748884936802658e-03,-2.4996513818143831e-01,6.6065067097236252e-02,-7.3859831146574795e-01,4.2221885044357652e+00,2.4191358161282241e+02,6.8454685628218945e-03,3.9221645743917982e-01,1.7904314155998367e+02,-1.6268292605272180e+02,-1.6606086540491738e-01,3.5532736802434717e-01
7.1000000000000000e+01,7.1000000000000008e-02,3.6870591001285948e+00,-1.9641523607903218e-02,3.0854832156001305e-01,-1.1253764059394240e+00,1.7678516601234133e+01,-2.9411933541210996e-03,6.3083643686772956e-03,-1.6851796592306559e-01,3.6144265395591907e-01,5.3483742543589462e-15,6.4881293096470393e-15,2.5180702171376372e-19,4.0885632091345577e-19,3.7747582837255322e-15,4.4408920985006262e-15,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-9.8201303584167510e-03,-4.9990355573824807e-01,1.4201778633270021e-01,-9.7629126239628250e-01,-4.9100651792084015e-03,-2.4995177786912448e-01,6.6098827987141937e-02,-7.3809740906726662e-01,4.2157702789930642e+00,2.4154584438299216e+02,6.9603217852569049e-03,3.9879706234818313e-01,1.7887462359406055e+02,-1.6232148339876588e+02,-1.6851796592306095e-01,3.6144265395591424e-01
7.2000000000000000e+01,7.2000000000000008e-02,3.6870591001285948e+00,-2.2625982919858744e-02,3.1496516948862929e-01,-1.2963733286429933e+00,1.8046174905321109e+01,-2.9844593119555253e-03,6.4168479286162124e-03,-1.7099692270356914e-01,3.6765830408697353e-01,5.6618843440751359e-15,6.4832473260886488e-15,2.2204461308310110e-16,5.6822207248165252e-19,3.9968028886505635e-15,4.4408920985006262e-15,2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.1312026231728198e-02,-4.9987202168408335e-01,1.4357965092606850e-01,-9.7527560638580280e-01,-5.6560131158641261e-03,-2.4993601084204214e-01,6.6133812347170362e-02,-7.3757381403494449e-01,4.2092488672714481e+00,2.4117219501487642e+02,7.0769297526333879e-03,4.0547820673645479e-01,1.7870362667135700e+02,-1.6195382509467890e+02,-1.7099692270357791e-01,3.6765830408698480e-01
7.3000000000000000e+01,7.2999999999999995e-02,3.6870591001285948e+00,-2.5654125254215440e-02,3.2149237670727349e-01,-1.4698731041665249e+00,1.8420156330956743e+01,-3.0281423343566970e-03,6.5272072186442045e-03,-1.7349977552353171e-01,3.7398142563563763e-01,5.8122913431913496e-15,6.4830003243377605e-15,2.2204460918186300e-16,3.3719542085083626e-19,4.2188474935755949e-15,4.6629367034256575e-15,2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.2825655685429063e-02,-4.9983547548792373e-01,1.4516575762383643e-01,-9.7421793018090752e-01,-6.4128278427145607e-03,-2.4991773774396236e-01,6.6170050969203906e-02,-7.3702670283441707e-01,4.2026228101078678e+00,2.4079254990459083e+02,7.1954207710351846e-03,4.1226724200108472e-01,1.7853012689583349e+02,-1.6157984366904324e+02,-1.7349977552353624e-01,3.7398142563563702e-01
7.4000000000000000e+01,7.3999999999999996e-02,3.6870591001285948e+00,-2.8726405994982628e-02,3.2813195241535709e-01,-1.6459018240918108e+00,1.8800575996787519e+01,-3.0722807407671865e-03,6.6395757080836464e-03,-1.7602871992528593e-01,3.8041966583077802e-01,6.2889321476503658e-15,6.4905117950365569e-15,3.1401850210469899e-16,1.7286502946063374e-19,4.4408920985006262e-15,4.4408920985006262e-15,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4361227644487110e-02,-4.9979371258604605e-01,1.4677637831426524e-01,-9.7311672274494576e-01,-7.1806138222435872e-03,-2.4989685629302355e-01,6.6207575334889288e-02,-7.3645521766549737e-01,4.1958905362828460e+00,2.4040681902789069e+02,7.3159329229745811e-03,4.1917207968725151e-01,1.7835409817590821e+02,-1.6119942400321247e+02,-1.7602871992527763e-01,3.8041966583078179e-01
7.5000000000000000e+01,7.4999999999999997e-02,3.6870591001285948e+00,-3.1843321839895328e-02,3.3488604966585350e-01,-1.8244879471027615e+00,1.9187557263661880e+01,-3.1169158449127041e-03,6.7540972504964453e-03,-1.7858612301095100e-01,3.8698126687435985e-01,6.4553866102486008e-15,6.6723724900776874e-15,1.3224243212002088e-19,2.2204497868856696e-16,4.6629367034256575e-15,4.6629367034256575e-15,0.0000000000000000e+00,2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,-1.5918970303243636e-02,-4.9974652213345561e-01,1.4841180563140685e-01,-9.7197040556240255e-01,-7.9594851516218527e-03,-2.4987326106672833e-01,6.6246417664081847e-02,-7.3585846384793063e-01,4.1890503538187733e+00,2.4001490544159992e+02,7.4386150628616213e-03,4.2620124852441243e-01,1.7817551205289723e+02,-1.6081244273633811e+02,-1.7858612301095037e-01,3.8698126687436135e-01
7.6000000000000000e+01,7.5999999999999998e-02,3.6870591001285948e+00,-3.5005414107214791e-02,3.4175697683485778e-01,-2.0056624884511201e+00,1.9581232391787594e+01,-3.1620922673194617e-03,6.8709271690042860e-03,-1.8117454134835845e-01,3.9367512812571648e-01,6.4554506913636142e-15,6.8142383498160183e-15,1.1102230903622458e-16,5.5434513875405194e-19,4.4408920985006262e-15,4.8849813083506888e-15,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.7499132697617967e-02,-4.9969368652688734e-01,1.5007235463493329e-01,-9.7077732733089217e-01,-8.7495663488090201e-03,-2.4984684326344420e-01,6.6286610968657900e-02,-7.3523550692889128e-01,4.1821004403703359e+00,2.3961670473302325e+02,7.5636279435734796e-03,4.3336395897397434e-01,1.7799433751154891e+02,-1.6041876760821242e+02,-1.8117454134837047e-01,3.9367512812572258e-01
7.7000000000000000e+01,7.6999999999999999e-02,3.6870591001285948e+00,-3.8213272397792951e-02,3.4874721032250577e-01,-2.1894592297772997e+00,1.9981743268440837e+01,-3.2078582905781584e-03,6.9902334876479821e-03,-1.8379674132617932e-01,4.0051087665324325e-01,6.2890838429521070e-15,6.6426913556709881e-15,1.1102244979613791e-16,3.2424393845067764e-19,4.4408920985006262e-15,4.8849813083506888e-15,1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.9101986447481147e-02,-4.9963498087479846e-01,1.5175836467221115e-01,-9.6953575807702386e-01,-9.5509932237406118e-03,-2.4981749043739976e-01,6.6328189112365252e-02,-7.3458536947591269e-01,4.1750388325842547e+00,2.3921210441030408e+02,7.6911454949355126e-03,4.4067017648086154e-01,1.7781054077022270e+02,-1.6001825673155918e+02,-1.8379674132619014e-01,4.0051087665324053e-01
