block_index,matrix_shape,dominant_weight,second_weight,rank_proxy,is_rank_one,status
123,22x22,9.9999999782776883e-01,3.9378888026847027e-10,1,True,tight
124,22x22,9.9999999749766744e-01,3.1351154346156208e-10,1,True,tight
125,22x22,9.9999999767323733e-01,4.2438536133296121e-10,1,True,tight
126,22x22,9.9999999773813497e-01,3.2401661366773479e-10,1,True,tight
127,22x22,9.9999999632118586e-01,4.7206362293000062e-10,1,True,tight
128,22x22,9.9999999634418824e-01,4.3966560221192871e-10,1,True,tight
129,22x22,9.9999999675406159e-01,4.2232904066291587e-10,1,True,tight
130,22x22,9.9999999672640127e-01,4.0665877568805079e-10,1,True,tight
131,22x22,9.9999999767615766e-01,4.1031575474705757e-10,1,True,tight
132,22x22,9.9999999782980054e-01,3.9231280160411442e-10,1,True,tight
133,22x22,9.9999999749855184e-01,3.1259443241583535e-10,1,True,tight
134,22x22,9.9999999767527603e-01,4.2296870605834751e-10,1,True,tight
135,22x22,9.9999999774099146e-01,3.2198883840456107e-10,1,True,tight
136,22x22,9.9999999632508851e-01,4.6978922538598641e-10,1,True,tight
137,22x22,9.9999999635852688e-01,4.3350606514974325e-10,1,True,tight
138,22x22,9.9999999675683393e-01,4.2069587947068579e-10,1,True,tight
139,22x22,9.9999999673579543e-01,4.0331448379907551e-10,1,True,tight
140,22x22,9.9999999767924208e-01,4.0841823657083099e-10,1,True,tight
141,22x22,9.9999999783343385e-01,3.8988503499976725e-10,1,True,tight
142,22x22,9.9999999749447621e-01,3.1463304174119826e-10,1,True,tight
143,22x22,9.9999999768030501e-01,4.2006014358466721e-10,1,True,tight
144,22x22,9.9999999774248260e-01,3.2180378207404449e-10,1,True,tight
145,22x22,9.9999999633595893e-01,4.6537702920034579e-10,1,True,tight
146,22x22,9.9999999638912673e-01,4.2436798521169483e-10,1,True,tight
147,22x22,9.9999999676126017e-01,4.1877381009812612e-10,1,True,tight
148,22x22,9.9999999674859585e-01,4.0172681318720664e-10,1,True,tight
149,22x22,9.9999999768687653e-01,4.0457809705887018e-10,1,True,tight
150,22x22,9.9999999784206983e-01,3.8510466506152046e-10,1,True,tight
151,22x22,9.9999999748302582e-01,3.2046085939542569e-10,1,True,tight
152,22x22,9.9999999769304071e-01,4.1391856061083225e-10,1,True,tight
153,22x22,9.9999999774467074e-01,3.2386273988818453e-10,1,True,tight
154,22x22,9.9999999636024062e-01,4.6046339663402815e-10,1,True,tight
155,22x22,9.9999999642853410e-01,4.3002625178657137e-10,1,True,tight
156,22x22,9.9999999675899032e-01,4.2111646446886170e-10,1,True,tight
157,22x22,9.9999999675140161e-01,4.1472322331864486e-10,1,True,tight
